node name,Entrez Gene ID,promote proliferation,evade growth repressor,resist cell death,enable replicative immortality,Induce angiogenesis,Activate invasion & metastasis,Reprogramme energy metabolism,Evade immune destruction,Genome instability,Tumor promoting inflammation
GNAT1,2779,1,0,0,0,0,0,0,0,0,0
PDE6A,5145,0,0,0,0,0,0,0,0,0,0
IL10,3586,1,1,1,0,0,1,0,1,0,1
NCOA2,10499,0,0,0,0,0,0,1,0,0,0
CETN2,1069,1,0,0,0,0,0,0,0,1,0
YBX1,4904,1,0,0,0,0,0,0,0,0,0
UBXN1,51035,0,0,0,0,0,0,0,0,0,0
ALOX15,246,0,0,0,0,0,1,0,1,0,1
IGF1,3479,1,1,1,0,0,1,1,0,0,1
HDAC6,10013,0,0,1,0,0,1,0,0,0,0
RPS6KA3,6197,1,0,1,0,0,0,0,1,0,0
COL18A1,80781,1,1,1,0,1,1,0,0,0,0
GPC1,2817,0,1,0,0,0,1,0,0,0,0
CD44,960,0,1,1,0,0,1,0,1,0,0
ARPC2,10109,0,0,0,0,0,1,0,1,0,0
GEMIN6,79833,0,0,0,0,0,0,0,0,0,0
COL4A1,1282,0,0,0,0,1,0,0,0,0,0
SMPX,23676,0,0,0,0,0,0,0,0,0,0
EIF4G1,1981,0,0,0,0,0,0,0,0,0,0
RMI1,80010,0,0,0,0,0,0,0,0,1,0
BLM,641,1,1,0,0,0,0,0,0,1,0
SH3BP5,9467,0,0,0,0,0,0,0,0,0,0
GLI2,2736,1,0,1,0,0,1,0,0,0,0
WNT6,7475,0,0,0,0,0,0,0,0,0,0
TEK,7010,1,0,1,0,1,1,0,0,0,1
LAX1,54900,0,1,0,0,0,1,0,1,0,0
PPARD,5467,1,1,1,0,1,1,1,0,0,1
DFFA,1676,0,0,1,0,0,0,0,0,0,0
SRPK2,6733,1,0,1,0,1,0,0,1,0,0
ASAP2,8853,0,0,0,0,0,0,0,0,0,0
SEC23A,10484,0,0,0,0,0,0,0,0,0,0
SAR1B,51128,0,0,0,0,0,0,0,0,0,0
TNFRSF9,3604,1,1,1,0,0,0,0,1,0,1
PTPN1,5770,0,1,1,0,0,1,0,1,0,0
RPS26,6231,0,0,0,0,0,0,0,0,0,0
EFNA1,1942,0,0,0,0,1,1,0,0,0,0
EPHA4,2043,0,0,0,0,0,1,0,0,0,0
RPS27A,6233,1,1,1,0,0,0,1,1,1,0
THBS4,7060,1,0,0,0,1,1,0,0,0,0
SDC4,6385,0,0,0,0,0,1,0,0,0,1
SH2B1,25970,1,0,0,0,0,1,0,0,0,1
EMD,2010,1,1,0,0,0,0,0,0,0,0
PPP1R1B,84152,0,0,0,0,0,0,0,0,0,0
PPP1CA,5499,1,0,1,0,0,0,1,0,0,0
PHKA1,5255,0,0,0,0,0,0,0,0,0,0
ESR2,2100,1,1,1,0,1,0,0,0,0,0
C3,718,0,0,0,0,1,0,0,1,0,1
CD79A,973,1,0,0,0,0,0,0,1,0,0
KAT2A,2648,1,0,0,0,0,1,1,0,0,0
SHROOM4,57477,0,0,0,0,0,1,0,0,0,0
CALM2,805,0,0,0,0,0,0,0,0,0,0
PYGM,5837,0,0,0,0,0,0,0,0,0,0
MYBL2,4605,1,0,0,0,0,0,0,0,0,0
PPAP2C,8612,0,0,0,0,0,0,0,0,0,0
HLA-B,3106,0,0,0,0,0,0,0,1,0,0
KIR2DL3,3804,0,0,0,0,0,0,0,1,0,0
STAT5A,6776,1,0,0,0,0,1,0,0,0,0
POLE2,5427,1,0,0,1,0,0,0,0,1,0
KLK1,3816,0,0,0,0,0,0,0,0,0,0
EHD1,10938,0,0,0,0,0,1,0,1,0,1
RAB11FIP1,80223,0,0,0,0,0,0,0,0,0,0
TNFSF13B,10673,1,0,0,0,0,0,0,1,0,0
TNFRSF13B,23495,1,1,0,0,0,0,0,1,0,0
TSC1,7248,1,1,0,0,0,1,1,1,0,0
RORC,6097,0,0,1,0,0,1,1,1,0,0
ARHGAP24,83478,0,0,0,0,1,0,0,0,0,0
SUPT7L,9913,0,0,0,0,0,0,0,0,0,0
NUP210,23225,1,0,0,0,0,0,0,0,0,0
ATF4,468,0,0,1,0,0,0,1,0,0,0
SRPRB,58477,0,0,0,0,0,0,0,0,0,0
SRP14,6727,0,0,0,0,0,0,0,0,0,0
MALT1,10892,1,0,1,0,0,1,0,1,0,1
SNRPD2,6633,0,0,0,0,0,0,0,0,0,0
PSMA1,5682,1,1,0,0,0,0,0,1,0,0
CACNG7,59284,0,0,0,0,1,0,0,0,0,0
EIF5,1983,0,0,0,0,0,0,0,0,0,0
ADCY8,114,0,0,0,0,0,0,0,0,0,0
ENG,2022,1,1,0,0,1,1,0,0,0,1
MDFI,4188,0,1,0,0,0,0,0,0,0,0
ACVR1,90,1,1,1,0,1,1,0,0,0,1
PSMB10,5699,1,1,0,0,0,1,0,1,0,0
GLMN,11146,1,1,0,0,1,1,0,0,0,0
LAT2,7462,0,0,0,0,0,0,0,1,0,0
PSMD4,5710,1,1,0,0,0,0,0,1,0,0
YKT6,10652,0,0,0,0,0,0,0,0,0,0
COP,1313,0,0,0,0,0,0,0,0,0,0
TRIM27,5987,1,0,0,0,0,1,0,1,0,0
IL23R,149233,1,0,0,0,0,1,0,1,0,1
RPL31,6160,0,0,0,0,0,0,0,0,0,0
SLC9A8,23315,0,0,0,0,0,0,0,0,0,0
LAMB3,3914,0,0,0,0,0,1,0,0,0,0
JAK1,3716,1,0,0,0,1,1,0,1,0,0
FGF17,8822,1,0,0,0,0,0,0,0,0,0
ALX1,8092,0,0,0,0,0,1,0,0,0,0
DAPP1,27071,0,0,0,0,0,0,0,0,0,0
CASP2,835,1,1,1,0,0,0,0,0,1,0
CTSH,1512,1,0,1,0,1,1,0,1,0,0
SFTPB,6439,0,0,0,0,0,0,0,0,0,0
WNT5B,81029,0,1,0,0,0,1,0,0,0,1
FZD9,8326,1,0,0,0,0,0,0,0,0,0
HSPBP1,23640,0,0,0,0,0,0,0,0,0,0
ATP6V1B1,525,0,0,0,0,0,0,0,0,0,0
FZD8,8325,0,0,0,0,1,1,0,0,0,0
AXIN1,8312,0,1,0,0,0,0,0,0,0,0
CLDN10,9071,0,0,0,0,0,1,0,0,0,0
CITED2,10370,1,0,1,0,1,1,1,0,0,0
ACOX1,51,0,0,0,0,0,0,0,0,0,0
TPR,7175,1,1,0,0,0,0,0,0,0,0
PLCB2,5330,0,0,0,0,0,0,0,0,0,0
COL4A6,1288,0,0,0,0,0,1,0,0,0,0
PLXND1,23129,1,0,0,0,1,1,0,0,0,0
TRIO,7204,0,0,1,0,0,0,0,0,0,0
VAV1,7409,0,0,1,0,0,1,0,1,0,1
TSLP,85480,0,0,0,0,0,0,0,0,0,0
PLA2G2E,30814,0,0,0,0,0,0,0,0,0,1
TUBA1A,7846,1,0,0,0,0,0,0,0,0,0
PIKFYVE,200576,0,0,0,0,0,0,0,1,0,0
SCIN,85477,1,1,1,0,0,1,0,0,0,0
BUB1,699,1,1,0,0,0,0,0,0,0,0
MRAS,22808,0,0,0,0,0,1,0,0,0,0
CSRP2,1466,0,0,0,0,0,0,0,0,0,0
CLDN14,23562,0,0,0,0,0,1,0,0,0,0
CLDN22,53842,0,0,0,0,0,1,0,0,0,0
RBX1,9978,0,1,0,0,0,0,1,0,1,0
WNT2,7472,1,0,0,0,0,1,0,0,0,0
CEP78,84131,1,0,0,0,0,0,0,0,0,0
PLCL1,5334,0,0,0,0,0,0,0,0,0,0
EIF1,10209,0,0,0,0,0,0,0,0,0,0
NQO1,1728,0,0,1,0,0,0,0,0,0,0
MYH8,4626,0,0,0,0,0,0,0,0,0,0
MYL6B,140465,0,0,0,0,0,0,0,0,0,0
HAS2,3037,1,0,0,0,1,1,0,0,0,0
ROCK2,9475,1,0,0,0,1,1,0,0,0,0
GUCY2D,3000,0,0,0,0,0,0,0,0,0,0
GUCA1C,9626,0,0,0,0,0,0,0,0,0,0
JDP2,122953,0,0,0,0,0,0,0,0,0,0
SQSTM1,8878,0,0,1,0,0,0,0,0,0,0
PTPN7,5778,0,0,0,0,0,0,0,0,0,0
CDK9,1025,1,1,0,0,0,0,0,0,1,0
COL2A1,1280,0,1,1,0,0,0,0,1,0,0
TEC,7006,1,0,0,0,0,0,0,1,0,1
PDPK1,5170,0,1,1,0,0,1,0,1,0,1
NOC2L,26155,0,1,1,0,0,0,0,0,0,0
IDO1,3620,1,1,1,0,0,1,0,1,0,1
CD274,29126,1,1,1,0,0,1,0,1,0,0
RET,5979,0,0,1,0,0,1,0,0,0,0
NR2C2,7182,1,0,0,0,0,0,0,0,0,0
EDA,1896,0,0,0,0,0,1,0,1,0,0
EDAR,10913,0,0,0,0,0,0,0,0,0,0
PROX1,5629,1,1,0,0,0,1,0,0,0,0
SOX2,6657,1,1,1,0,0,1,0,0,0,1
PPP1R14A,94274,0,0,0,0,0,0,0,0,0,0
IL10RA,3587,0,0,0,0,0,0,0,0,0,0
AKT3,10000,0,0,0,0,0,0,0,0,0,0
ALK,238,1,0,1,0,0,0,0,0,0,0
BCAR3,8412,0,0,0,0,0,0,0,0,0,0
GNAZ,2781,0,0,0,0,0,0,0,0,0,0
RPS27,6232,1,0,0,0,0,0,0,0,0,0
CXorf15,55787,0,0,0,0,0,0,0,0,0,0
SKP1,6500,1,0,0,0,0,0,0,1,0,0
TBL1Y,90665,0,0,0,0,0,0,0,0,0,0
WAS,7454,0,0,0,0,0,1,0,1,0,1
RALA,5898,1,0,0,0,0,1,0,0,0,0
BANP,54971,1,0,0,0,0,0,0,0,0,0
FOXH1,8928,0,1,0,0,0,0,0,0,0,0
MAPK6,5597,1,0,0,0,0,0,0,0,0,0
PDLIM5,10611,1,0,0,0,0,1,0,0,0,0
PCM1,5108,1,0,0,0,0,1,0,0,0,0
SGK1,6446,1,0,1,0,1,1,0,0,0,0
RPL36,25873,0,0,0,0,0,0,0,0,0,0
JUP,3728,1,0,0,0,1,1,0,0,0,0
SPRY1,10252,1,1,0,0,0,1,0,0,0,0
ADRB2,154,1,1,1,0,1,1,1,1,0,1
CEBPB,1051,1,1,1,0,0,1,0,1,0,1
XAB2,56949,0,0,0,0,0,0,0,0,1,0
ERCC8,1161,0,0,0,0,0,0,0,0,1,0
CCL22,6367,0,0,0,0,0,1,0,1,0,1
CCR1,1230,0,0,0,0,0,1,0,1,0,1
RNF7,9616,0,0,0,0,0,0,0,0,0,0
CHRD,8646,1,1,0,0,0,1,0,0,0,0
NKX2-5,1482,1,1,1,0,1,1,0,0,0,0
S100A9,6280,1,0,1,0,0,1,0,1,0,1
CNTN1,1272,0,0,0,0,0,1,0,0,0,0
NFASC,23114,0,0,0,0,0,1,0,0,0,0
PPP1R3C,5507,0,0,0,0,0,0,0,0,0,0
GYS1,2997,0,0,0,0,0,0,0,0,0,0
PTH,5741,1,0,1,0,0,0,1,0,0,0
CREM,1390,0,0,0,0,0,0,1,0,0,0
SLAMF1,6504,1,1,0,0,0,1,0,1,0,1
SH2D1B,117157,0,0,0,0,0,0,0,1,0,0
PPP3CB,5532,1,0,0,0,0,1,0,1,0,0
CCK,885,1,0,1,0,0,1,0,0,0,0
ODC1,4953,1,0,0,0,0,0,0,0,0,0
LOC646048,646048,0,0,0,0,0,0,0,0,0,0
CHRM4,1132,1,0,0,0,0,0,0,0,0,0
CDC14A,8556,1,1,0,0,0,1,0,0,0,0
PI4KA,5297,0,0,0,0,0,0,0,0,0,0
BBC3,27113,0,0,1,0,0,0,1,0,0,0
LPAR2,9170,0,0,0,0,0,0,0,0,0,0
F2RL3,9002,0,0,0,0,0,0,0,0,0,1
CXCL14,9547,0,0,0,0,0,1,0,1,0,0
KIF3A,11127,1,0,0,0,0,1,0,1,0,0
RASGRP4,115727,1,0,0,0,0,0,0,0,0,0
LEFTY1,10637,1,0,1,0,0,0,0,0,0,0
TGFB2,7042,1,1,1,0,1,1,0,1,0,1
CDCA8,55143,1,0,0,0,0,0,0,0,0,0
PF4V1,5197,1,0,0,0,0,1,0,1,0,1
CCR10,2826,0,0,0,0,0,1,0,1,0,0
CALM3,808,0,0,0,0,0,0,0,0,0,0
GNG12,55970,0,0,0,0,0,0,0,0,0,0
CSDE1,7812,0,0,0,0,0,0,0,0,0,0
TDGF1,6997,1,0,1,0,1,1,0,1,0,0
TERC,7012,0,0,0,0,0,0,0,0,0,0
BCL2L11,10018,1,0,1,0,0,1,0,0,0,0
GRIP1,23426,0,0,0,0,0,1,0,0,0,0
TCF7,6932,1,0,1,0,0,1,0,1,0,0
TRA@,6955,0,0,0,0,0,0,0,0,0,0
B2M,567,0,0,0,0,0,1,0,1,0,1
Mar-02,May-40,0,0,0,0,0,0,0,0,0,0
DLG1,1739,1,1,0,0,0,1,0,1,0,1
PPP1R3A,5506,0,0,0,0,0,0,0,0,0,0
GRIA1,2890,0,0,0,0,0,0,0,1,0,0
PICK1,9463,0,0,0,0,0,1,0,1,0,0
CHRNA1,1134,0,0,0,0,0,0,0,0,0,0
IGFBP7,3490,1,1,0,0,0,1,0,0,0,0
CACNB3,784,0,0,0,0,1,0,0,1,0,0
CACNG1,786,0,0,0,0,1,0,0,0,0,0
CAV1,857,1,1,1,1,1,1,0,1,0,1
TFPI,7035,0,0,0,0,0,0,0,0,0,1
MAP3K3,4215,0,0,0,0,0,0,0,0,0,0
CCNA2,890,1,1,0,0,0,0,1,0,1,0
E2F2,1870,1,0,0,0,0,0,0,0,0,0
NUP155,9631,1,0,0,0,1,0,0,0,0,0
P2RX1,5023,0,0,1,0,1,0,0,0,0,1
RYR1,6261,0,0,0,0,1,0,0,0,0,0
THBS2,7058,0,0,0,0,1,1,0,0,0,0
SEH1L,81929,1,0,0,0,0,0,0,0,0,1
RALB,5899,1,0,0,0,0,0,0,0,0,0
SIN3A,25942,1,0,1,0,0,0,0,1,0,0
WNK1,65125,0,0,0,0,1,0,0,0,0,0
SLC1A2,6506,0,0,0,0,0,0,1,0,0,0
FBXO6,26270,1,0,0,0,0,0,0,0,1,0
SSNA1,8636,1,0,0,0,0,1,0,0,0,0
ESR1,2099,1,1,1,0,0,0,1,0,0,0
SPP1,6696,1,1,0,0,0,1,0,0,0,1
MLST8,64223,1,1,0,0,0,1,0,0,0,0
EIF3C,8663,0,0,0,0,0,0,0,0,0,0
FRS3,10817,0,0,0,0,0,0,0,0,0,0
HOXA7,3204,0,0,0,0,1,1,0,0,0,0
UBE2S,27338,1,0,0,0,0,0,0,0,0,0
PLA2G12A,81579,0,0,0,0,0,0,0,0,0,0
SDC2,6383,0,0,0,0,0,1,0,0,0,1
CACNA1C,775,0,0,0,0,1,0,0,0,0,0
PLXNA3,55558,1,1,0,0,0,1,0,0,0,0
TNFSF10,8743,0,1,1,0,0,0,0,1,0,0
IBSP,3381,0,0,0,0,0,1,0,0,0,0
RAPGEF1,2889,1,1,0,0,0,1,0,0,0,0
TRAF3,7187,0,0,1,0,0,0,0,1,0,0
TNFRSF13C,115650,1,0,0,0,0,1,0,1,0,0
ZYX,7791,0,0,0,0,0,1,0,0,0,1
PSMB1,5689,1,1,0,0,0,0,0,1,0,0
MAP4K3,8491,0,0,0,0,0,0,0,0,0,0
CACNA1F,778,0,0,0,0,1,0,0,1,0,0
GNB2L1,10399,0,0,0,0,0,0,0,0,0,0
LAMB1,3912,1,0,0,0,0,1,0,0,0,0
INSR,3643,1,0,0,0,0,1,1,0,0,0
BMP10,27302,1,1,1,0,1,1,0,0,0,0
PARVB,29780,0,0,0,0,0,1,0,0,0,0
ARFGEF1,10565,0,0,0,0,0,1,0,0,0,1
ARF1,375,0,0,0,0,0,1,0,1,0,0
CXCL1,2919,1,1,0,0,0,1,0,1,0,1
GNG10,2790,0,0,0,0,0,0,0,0,0,0
GHSR,2693,0,0,0,0,0,1,0,0,0,1
ARFIP1,27236,0,0,0,0,0,1,0,0,0,0
TANK,10010,0,0,0,0,0,0,0,1,0,0
RFC2,5982,0,0,0,1,0,0,0,0,1,0
FGF3,2248,1,0,0,0,0,0,0,0,0,0
PTPN2,5771,1,1,1,0,0,1,1,1,0,1
KIR3DL2,3812,0,0,0,0,0,0,0,1,0,0
NASP,4678,1,0,0,0,0,0,0,0,0,0
DAB2,1601,1,1,1,0,0,1,0,1,0,0
ADRM1,11047,0,0,0,0,0,0,0,0,0,0
CAST,831,1,1,1,0,0,0,0,0,0,0
CD28,940,1,0,0,0,0,1,0,1,0,1
DUSP1,1843,1,1,1,0,0,0,0,0,0,0
MYT1,4661,0,0,0,0,0,0,0,0,0,0
ARHGAP10,79658,0,0,1,0,0,0,0,0,0,0
ETS2,2114,0,0,0,0,0,0,0,0,0,0
CCL19,6363,1,0,1,0,0,1,0,1,0,1
PSMC2,5701,1,1,0,0,0,0,0,1,0,0
USP14,9097,0,0,0,0,0,1,0,0,0,0
MX1,4599,0,0,0,0,0,0,0,1,0,0
HBXIP,10542,0,0,0,0,0,0,0,0,0,0
DLL1,28514,1,1,1,0,1,1,0,1,0,0
DNAH8,1769,0,0,0,0,0,0,0,0,0,0
PROCR,10544,0,0,0,0,0,1,0,1,0,1
EIF2B5,8893,0,0,0,0,0,0,0,0,0,0
IGSF5,150084,0,0,0,0,0,1,0,0,0,0
NCKAP1,10787,0,0,0,0,0,1,0,1,0,0
ARPC3,10094,0,0,0,0,0,1,0,1,0,0
APC2,10297,1,1,0,0,0,1,0,0,0,0
AURKB,9212,1,1,1,1,0,0,0,0,0,0
NGEF,25791,0,0,1,0,0,1,0,0,0,0
SLBP,7884,1,0,0,0,0,0,0,0,0,0
F2RL2,2151,0,0,0,0,0,0,0,0,0,1
BNIP3,664,0,0,1,0,0,0,1,0,0,0
PSEN1,5663,1,1,1,0,0,1,0,1,0,0
SFRP4,6424,1,1,1,0,0,0,0,1,0,0
WNT10A,80326,0,0,0,0,0,0,0,0,0,0
MYL12A,10627,0,0,0,0,0,1,0,0,0,1
IL6ST,3572,1,1,1,0,0,1,0,1,0,1
RAC2,5880,1,0,0,0,0,1,0,1,0,1
PIP4K2B,8396,0,0,0,0,0,0,0,0,0,0
BMI1,648,1,0,0,0,0,0,0,0,0,0
RAB4A,5867,0,0,0,0,0,0,0,1,0,0
RUFY1,80230,0,0,0,0,0,0,0,1,0,0
FBLN1,2192,1,1,0,0,0,1,0,0,0,1
TNS1,7145,0,0,0,0,0,1,0,0,0,0
HLA-DOA,3111,0,0,0,0,0,1,0,1,0,0
ASPN,54829,0,1,0,0,0,0,0,0,0,0
DBF4,10926,1,0,0,0,0,0,0,0,0,0
NCOA3,8202,0,0,0,0,0,0,0,0,0,0
DLG4,1742,0,0,0,0,0,1,0,1,0,0
UPF3B,65109,0,0,0,0,0,0,0,0,0,0
KLF6,1316,0,0,0,0,0,0,0,0,0,1
RARA,5914,1,1,1,0,0,1,0,1,0,0
CACNA2D1,781,0,0,0,0,1,0,0,0,0,0
HSPA8,3312,1,0,0,0,0,0,0,0,0,0
MAP3K2,10746,0,0,0,0,0,0,0,0,0,0
MAP2K5,5607,1,1,1,0,1,1,0,0,0,0
SMAD7,4092,0,1,0,0,1,1,0,0,0,0
SMAD9,4093,0,0,0,0,0,0,0,0,0,0
TLN2,83660,0,0,0,0,0,1,0,0,0,0
FGF12,2257,0,0,0,0,1,0,0,0,0,0
CCM2,83605,0,0,0,0,1,1,0,0,0,0
SLC2A1,6513,0,0,0,0,0,0,0,0,0,0
GCK,2645,0,0,0,0,0,0,1,0,0,0
TFDP2,7029,1,1,0,0,0,0,0,0,1,0
CES1,1066,0,0,0,0,0,0,0,0,0,0
EXOC6B,23233,0,0,0,0,0,0,0,0,0,0
PIAS1,8554,1,0,0,0,0,0,0,1,0,0
PBX1,5087,1,0,0,0,0,0,0,0,0,0
MACROD1,28992,0,0,0,0,0,0,0,0,0,0
ITGAL,3683,0,0,0,0,0,1,0,1,0,1
C8B,732,0,0,0,0,0,0,0,1,0,1
C9,735,0,0,0,0,0,0,0,1,0,1
ERCC3,2071,1,0,1,0,0,0,0,0,1,0
XPC,7508,1,1,0,0,0,0,0,0,1,0
PSMB3,5691,1,1,0,0,0,0,0,1,0,0
NCBP1,4686,1,0,0,0,0,0,0,0,0,0
ATP2B4,493,1,1,0,0,1,0,0,0,0,0
HSPB2,3316,0,0,0,0,0,0,0,0,0,0
PSMF1,9491,1,1,0,0,0,0,0,1,0,0
CACNA1A,773,1,0,1,0,0,1,1,0,0,0
CACNG6,59285,0,0,0,0,1,0,0,0,0,0
IL18,3606,1,0,0,0,1,1,0,1,0,1
CD8A,925,0,0,0,0,0,1,0,1,0,0
SFRS1,6426,0,0,0,0,0,0,0,0,0,0
PPP2R5E,5529,0,0,0,0,0,0,0,0,0,0
AXIN2,8313,1,1,0,0,0,1,0,0,1,0
MUC1,4582,1,1,1,0,0,1,0,0,1,0
ADCY1,107,0,0,0,0,0,1,0,0,0,0
PRKX,5613,1,0,0,0,1,1,0,0,0,0
SH3GL2,6456,0,1,0,0,0,0,0,1,0,0
SRA1,10011,1,0,1,0,0,0,0,0,0,0
GABRA4,2557,0,0,0,0,0,0,0,0,0,0
GABRA6,2559,0,0,0,0,0,0,0,0,0,0
KCNA2,3737,0,0,0,0,0,0,0,0,0,0
ELK3,2004,0,0,0,0,1,0,0,0,0,1
PIN1,5300,1,1,1,0,0,0,0,0,0,0
PIM2,11040,1,1,1,0,0,0,0,0,0,0
PAXBP1,94104,1,0,0,0,0,0,0,0,0,0
NANOG,79923,1,0,0,0,0,0,0,0,0,0
EPHB2,2048,0,0,0,0,1,1,0,0,0,0
PTPRK,5796,1,1,0,0,0,1,0,0,0,0
ICOS,29851,0,0,0,0,0,1,0,1,0,0
PARVG,64098,0,0,0,0,0,1,0,0,0,0
F2RL1,2150,1,1,0,0,1,1,0,1,0,1
MBNL3,55796,0,0,0,0,0,0,0,0,0,0
AP2A2,161,0,1,0,0,0,0,0,1,0,0
NR4A1,3164,1,1,1,0,1,1,0,0,0,0
FGFR1OP,11116,1,0,0,0,0,1,0,0,0,0
CHRM2,1129,0,0,0,0,1,0,0,0,0,0
PGF,5228,1,0,0,0,1,0,0,0,0,0
RIPK2,8767,1,0,1,0,0,1,0,1,0,1
ME1,4199,0,0,0,0,0,0,0,0,0,0
WHSC2,7469,0,0,0,0,0,0,0,0,0,0
LY96,23643,0,1,0,0,0,0,0,1,0,1
WNT5A,7474,1,1,1,0,1,1,0,1,0,1
HLA-DPA1,3113,1,0,0,0,0,1,0,1,0,0
GNL3,26354,1,0,0,1,0,0,0,0,0,0
TRIM24,8805,1,1,1,0,0,0,0,0,0,0
CHEK2,11200,1,1,1,1,0,0,0,0,1,0
MAML3,55534,0,0,0,0,0,0,0,0,0,0
KAT2B,8850,1,1,0,0,1,1,1,0,0,0
GLP1R,2740,0,0,0,0,1,0,0,0,0,0
AREG,374,1,0,0,0,0,1,0,0,0,0
EPHA1,2041,1,0,0,0,1,1,0,0,0,0
FANCM,57697,1,0,0,0,0,0,0,0,1,0
FANCC,2176,0,0,0,0,0,0,0,0,1,0
CACNA1B,774,0,0,0,0,1,0,0,0,0,0
RHEB,6009,1,1,0,0,0,0,0,0,0,0
TAF11,6882,0,0,0,0,0,0,0,0,0,0
PAX2,5076,1,0,1,0,0,1,0,0,0,0
DEFB1,1672,0,0,0,0,0,1,0,1,0,1
WNT10B,7480,1,1,1,0,0,0,0,0,0,1
PRTN3,5657,1,0,0,0,0,0,0,1,0,1
FTL,2512,0,0,0,0,0,0,0,0,0,0
KAT5,10524,0,0,0,0,0,0,0,0,1,0
GPAM,57678,1,0,1,0,0,1,0,0,0,0
CIITA,4261,0,0,0,0,0,0,0,1,0,1
NOS3,4846,1,1,1,0,1,1,0,0,0,1
COL6A3,1293,0,0,0,0,0,1,0,0,0,0
YWHAB,7529,0,1,1,0,0,0,0,0,0,0
MBD3,53615,0,0,0,0,0,0,0,0,0,0
INSRR,3645,0,0,0,0,0,1,0,0,0,0
SKIL,6498,1,1,1,0,0,1,0,0,0,0
DLGAP1,9229,0,0,0,0,0,0,0,0,0,0
ACVRL1,94,1,1,0,0,1,1,0,0,0,1
RASA2,5922,0,1,0,0,0,0,0,0,0,0
SOD3,6649,0,0,0,0,0,0,0,0,0,0
SPRED1,161742,0,1,0,0,0,0,0,0,0,0
CD86,942,1,0,0,0,0,1,0,1,0,0
CLDN1,9076,0,0,0,0,0,1,0,0,0,0
STX1A,6804,0,0,0,0,0,0,0,0,0,0
PRSS2,5645,1,0,0,0,0,1,0,0,0,0
E2F4,1874,1,1,0,0,1,1,0,0,1,0
CASP10,843,0,0,1,0,0,0,0,0,0,0
HAUS2,55142,1,0,0,0,0,0,0,0,0,0
CDC25C,995,1,1,0,0,0,0,0,0,1,0
POLD4,57804,0,0,0,1,0,0,0,0,1,0
POLD3,10714,0,0,0,1,0,0,0,0,1,0
TMEFF2,23671,0,0,0,0,0,1,0,0,0,1
DOK7,285489,0,0,0,0,0,0,0,0,0,0
PTTG2,10744,1,0,0,0,0,0,0,0,0,0
CLK1,1195,1,0,0,0,0,0,0,0,0,0
HSFY1,86614,0,0,0,0,0,0,0,0,0,0
RELN,5649,0,0,0,0,0,1,0,0,0,0
DAB1,1600,0,1,0,0,0,1,0,0,0,0
PTRH2,51651,0,0,1,0,0,0,0,0,0,0
DDAH2,23564,0,0,1,0,0,0,0,0,0,0
DUSP14,11072,0,1,0,0,0,0,0,0,0,0
ITGB3BP,23421,1,0,1,0,0,1,0,0,0,0
STRAP,11171,1,1,0,0,0,1,0,0,0,0
TGFA,7039,1,0,1,0,1,0,0,0,0,1
COBRA1,25920,0,0,0,0,0,0,0,0,0,0
GABRA1,2554,0,0,0,0,0,0,0,0,0,0
GABRA3,2556,0,0,0,0,0,0,0,0,0,0
SPATA13,221178,0,0,0,0,0,1,0,0,0,0
PLCD3,113026,1,0,0,0,1,0,0,0,0,0
ITPR2,3709,0,0,0,0,1,0,0,0,0,1
GTPBP1,9567,0,0,0,0,0,0,0,1,0,0
DCTN1,1639,1,0,0,0,0,0,0,0,0,0
PLA2G4E,123745,0,0,0,0,0,0,0,0,0,0
DEFB4,1673,0,0,0,0,0,0,0,0,0,0
UCP1,7350,0,0,0,0,0,0,0,0,0,0
KIDINS220,57498,0,0,0,0,0,1,0,0,0,0
TP53BP1,7158,1,0,0,0,0,0,0,0,1,0
NR0B1,190,0,1,0,0,0,0,0,0,0,0
CYP19A1,1588,0,0,0,0,0,1,0,0,0,1
SMC4,10051,1,0,0,0,0,0,0,0,0,0
HPGD,3248,1,1,0,0,0,0,0,0,0,0
HIST2H3C,126961,0,0,0,0,0,0,0,0,0,0
PAWR,5074,1,1,1,0,0,1,0,1,0,0
PRKG2,5593,0,0,0,0,0,0,0,0,0,0
PLN,5350,0,0,0,0,1,0,0,0,0,0
PLCB4,5332,0,0,0,0,0,0,0,0,0,0
ZFYVE9,9372,0,0,0,0,0,0,0,1,0,0
PLCZ1,89869,0,0,0,0,0,0,0,0,0,0
PYDC1,260434,1,1,1,0,0,1,0,1,0,1
MYEOV2,150678,0,0,0,0,0,0,0,0,0,0
PDE6G,5148,0,0,0,0,0,0,0,0,0,0
CNGA1,1259,0,0,0,0,0,0,0,0,0,0
ZFAND5,7763,0,0,0,0,0,1,0,0,0,0
FOXM1,2305,1,1,0,0,0,0,0,0,1,0
CENPF,1063,1,1,0,0,0,0,0,0,0,0
CTNNA1,1495,1,1,1,0,0,1,0,0,0,0
EIF3L,51386,0,0,0,0,0,0,0,0,0,0
IL3,3562,1,0,0,0,0,0,0,1,0,0
LITAF,9516,0,1,0,0,0,0,0,0,0,0
AKR1C2,1646,1,0,0,0,0,0,0,0,0,0
CAPN2,824,0,0,0,0,0,0,0,0,0,0
NEDD1,121441,1,0,0,0,0,0,0,0,0,0
AP1S2,1902,0,0,0,0,0,0,0,0,0,0
NTN3,4917,0,0,0,0,0,1,0,0,0,0
